Course,Course Name,Credits,Instructor,Room,Days,Date,Start Time,End Time,Max Enrollment,Total Enrollment
BCS101Lec1,Elements Of Computing,3,"Seyam, Ahmed",HUB-117 Software Lab,M,Weekly,11:00:00 AM,12:59:00 PM,24,22
BCS101Lec1,Elements Of Computing,3,"Garg, Sahil",HUB-114,T,Weekly,11:00:00 AM,12:59:00 PM,24,22
BCS101Lec2,Elements Of Computing,3,"Garg, Sahil",HUB-114,T,Weekly,11:00:00 AM,12:59:00 PM,24,25
BCS101Lec2,Elements Of Computing,3,"Seyam, Ahmed",HUB-118 Robotic Lab,R,Weekly,5:00:00 PM,6:59:00 PM,24,25
BCS101Lec3,Elements Of Computing,3,"Seyam, Ahmed",HUB-118 Robotic Lab,T,Weekly,1:00:00 PM,2:59:00 PM,24,24
BCS101Lec3,Elements Of Computing,3,"Garg, Sahil",HUB-114,W,Weekly,11:00:00 AM,12:59:00 PM,24,24
BCS101Lec4,Elements Of Computing,3,"Yousefi, Adel",HUB-117 Software Lab,T,Weekly,1:00:00 PM,2:59:00 PM,24,9
BCS101Lec4,Elements Of Computing,3,"Garg, Sahil",HUB-114,W,Weekly,11:00:00 AM,12:59:00 PM,24,9
BCS102Lec1,Introduction To Computing Science I,3,"Yousefi, Adel",HUB-117 Software Lab,T,Weekly,5:00:00 PM,6:59:00 PM,24,24
BCS102Lec1,Introduction To Computing Science I,3,"Zgheib, Rita",MGT-204,W,Weekly,11:00:00 AM,12:59:00 PM,24,24
BCS102Lec2,Introduction To Computing Science I,3,"Zgheib, Rita",HUB-117 Software Lab,M,Weekly,9:00:00 AM,10:59:00 AM,24,25
BCS102Lec2,Introduction To Computing Science I,3,"Zgheib, Rita",MGT-204,W,Weekly,11:00:00 AM,12:59:00 PM,24,25
BCS102Lec3,Introduction To Computing Science I,3,"Zgheib, Rita",MGT-204,T,Weekly,3:00:00 PM,4:59:00 PM,24,24
BCS102Lec3,Introduction To Computing Science I,3,"Seyam, Ahmed",HUB-117 Software Lab,W,Weekly,1:00:00 PM,2:59:00 PM,24,24
BCS102Lec4,Introduction To Computing Science I,3,"Zgheib, Rita",MGT-204,T,Weekly,3:00:00 PM,4:59:00 PM,24,24
BCS102Lec4,Introduction To Computing Science I,3,"Zgheib, Rita",HUB-117 Software Lab,R,Weekly,5:00:00 PM,6:59:00 PM,24,24
BCS202Lec01,Introduction To Computing Science II,3,"Yousefi, Adel",HUB-117 Software Lab,M,Weekly,7:00:00 PM,8:59:00 PM,10,8
BCS202Lec01,Introduction To Computing Science II,3,"Oguz, Kaya",MGT-204,T,Weekly,5:00:00 PM,6:59:00 PM,10,8
BCS203Lec1,Software Specifications,3,"Mohamed, Tamer",HUB-114,M,Weekly,3:00:00 PM,5:59:00 PM,48,46
BCS203Lec2,Software Specifications,3,"Mohamed, Tamer",MGT-204,R,Weekly,6:00:00 PM,8:59:00 PM,48,46
BCS206Lec1,Information Structures,3,"Elnaffar, Said Selim",HUB-112,W,Weekly,9:00:00 AM,11:59:00 AM,48,43
BCS206Lec2,Information Structures,3,"Elnaffar, Said Selim",HUB-114,T,Weekly,3:00:00 PM,5:59:00 PM,48,48
BCS221Lec1,Communication Networks,3,"Faheem, Yasir",HUB-118 Robotic Lab,M,Weekly,11:00:00 AM,12:59:00 PM,24,22
BCS221Lec1,Communication Networks,3,"Faheem, Yasir",MGT-204,T,Weekly,9:00:00 AM,10:59:00 AM,24,22
BCS221Lec2,Communication Networks,3,"Faheem, Yasir",MGT-204,T,Weekly,9:00:00 AM,10:59:00 AM,24,24
BCS221Lec2,Communication Networks,3,"Yousefi, Adel",HUB-118 Robotic Lab,W,Weekly,3:00:00 PM,4:59:00 PM,24,24
BCS221Lec3,Communication Networks,3,"Faheem, Yasir",HUB-118 Robotic Lab,M,Weekly,3:00:00 PM,4:59:00 PM,24,24
BCS221Lec3,Communication Networks,3,"Faheem, Yasir",MGT-204,T,Weekly,11:00:00 AM,12:59:00 PM,24,24
BCS221Lec4,Communication Networks,3,"Faheem, Yasir",MGT-204,T,Weekly,11:00:00 AM,12:59:00 PM,24,24
BCS221Lec4,Communication Networks,3,"Yousefi, Adel",HUB-118 Robotic Lab,W,Weekly,1:00:00 PM,2:59:00 PM,24,24
BCS222Lec1,Programming Paradigms,3,"El Messiry, Haytham",MGT-208,R,Weekly,9:00:00 AM,11:59:00 AM,48,42
BCS222Lec2,Programming Paradigms,3,"El Messiry, Haytham",MGT-204,W,Weekly,3:00:00 PM,5:59:00 PM,48,48
BCS305Lec1,Software Architecture,3,"Zgheib, Rita",HUB-114,W,Weekly,3:00:00 PM,5:59:00 PM,50,32
BCS306Lec1,Database Management Systems,3,"Garg, Sahil",HUB-114,T,Weekly,1:00:00 PM,2:59:00 PM,22,22
BCS306Lec1,Database Management Systems,3,"Yousefi, Adel",HUB-117 Software Lab,T,Weekly,7:00:00 PM,8:59:00 PM,22,22
BCS306Lec2,Database Management Systems,3,"Garg, Sahil",HUB-114,T,Weekly,1:00:00 PM,2:59:00 PM,22,23
BCS306Lec2,Database Management Systems,3,"Yousefi, Adel",HUB-117 Software Lab,R,Weekly,1:00:00 PM,2:59:00 PM,22,23
BCS306Lec3,Database Management Systems,3,"Yousefi, Adel",HUB-118 Robotic Lab,T,Weekly,3:00:00 PM,4:59:00 PM,23,23
BCS306Lec3,Database Management Systems,3,"Garg, Sahil",HUB-114,W,Weekly,1:00:00 PM,2:59:00 PM,23,23
BCS306Lec4,Database Management Systems,3,"Garg, Sahil",HUB-114,W,Weekly,1:00:00 PM,2:59:00 PM,22,6
BCS306Lec4,Database Management Systems,3,"Seyam, Ahmed",HUB-117 Software Lab,W,Weekly,7:00:00 PM,8:59:00 PM,22,6
BCS307Lec1,Digital Systems,4,"Sadek, Zeyad Remah",HUB-116 Electronic Lab,T,Weekly,1:00:00 PM,2:59:00 PM,20,20
BCS307Lec1,Digital Systems,4,"Moussa, Sherif",HUB-114,R,Weekly,6:00:00 PM,8:59:00 PM,20,20
BCS307Lec2,Digital Systems,4,"Sadek, Zeyad Remah",HUB-116 Electronic Lab,W,Weekly,1:00:00 PM,2:59:00 PM,20,18
BCS307Lec2,Digital Systems,4,"Moussa, Sherif",HUB-114,R,Weekly,6:00:00 PM,8:59:00 PM,20,18
BCS307Lec3,Digital Systems,4,"Yousefi, Adel",HUB-116 Electronic Lab,M,Weekly,3:00:00 PM,4:59:00 PM,20,8
BCS307Lec3,Digital Systems,4,"Moussa, Sherif",HUB-114,R,Weekly,6:00:00 PM,8:59:00 PM,20,8
BCS309Lec1,Algorithms I,3,"Zgheib, Rita",MGT-208,T,Weekly,9:00:00 AM,11:59:00 AM,43,40
BCS309Lec2,Algorithms I,3,"Kolankeh , Arash",HUB-114,W,Weekly,6:00:00 PM,8:59:00 PM,45,45
BCS323Lec1,System-Level Programming,3,"Elgazzar, Khalid",MGT-204,M,Weekly,5:00:00 PM,6:59:00 PM,24,11
BCS323Lec1,System-Level Programming,3,"Seyam, Ahmed",HUB-119,R,Weekly,10:00:00 AM,11:59:00 AM,24,11
BCS323Lec2,System-Level Programming,3,"Elgazzar, Khalid",MGT-204,M,Weekly,5:00:00 PM,6:59:00 PM,24,23
BCS323Lec2,System-Level Programming,3,"Seyam, Ahmed",HUB-117 Software Lab,W,Weekly,11:00:00 AM,12:59:00 PM,24,23
BCS323Lec3,System-Level Programming,3,"Elgazzar, Khalid",MGT-204,M,Weekly,7:00:00 PM,8:59:00 PM,24,22
BCS323Lec3,System-Level Programming,3,"Seyam, Ahmed",HUB-118 Robotic Lab,T,Weekly,5:00:00 PM,6:59:00 PM,24,22
BCS323Lec4,System-Level Programming,3,"Elgazzar, Khalid",MGT-204,M,Weekly,7:00:00 PM,8:59:00 PM,24,21
BCS323Lec4,System-Level Programming,3,"Yousefi, Adel",HUB-118 Robotic Lab,R,Weekly,3:00:00 PM,4:59:00 PM,24,21
BCS403Lec1,Advanced Database Systems,3,"Hussein, Ahmed",MGT-106,W,Weekly,9:00:00 AM,11:59:00 AM,32,27
BCS405Lec1,Artificial Intelligence,3,"Kolankeh , Arash",MGT-105,T,Weekly,3:00:00 PM,4:59:00 PM,20,11
BCS405Lec1,Artificial Intelligence,3,"Yousefi, Adel",HUB-115 Networking Lab,W,Weekly,7:00:00 PM,8:59:00 PM,20,11
BCS405Lec2,Artificial Intelligence,3,"Kolankeh , Arash",MGT-105,T,Weekly,3:00:00 PM,4:59:00 PM,20,22
BCS405Lec2,Artificial Intelligence,3,"Kolankeh , Arash",HUB-118 Robotic Lab,R,Weekly,10:00:00 AM,11:59:00 AM,20,22
BCS410Prj1,Computer Science Project,6,"Zgheib, Rita",,N\A,Weekly,12:00:00 AM,12:00:00 AM,21,7
BSD312Lec1,Software Quality,3,"Oguz, Kaya",MGT-205,M,Weekly,9:00:00 AM,11:59:00 AM,20,11
BSD313Lec1,Advanced User Interface Design,3,"Oguz, Kaya",HUB-119,R,Weekly,6:00:00 PM,8:59:00 PM,21,9
BSD410Prj1,Software Design Project,6,"Zgheib, Rita",,N\A,Weekly,12:00:00 AM,12:00:00 AM,10,0
BUS310Lec1,Project Management,3,"Mohamed, Tamer",MGT-104,W,Weekly,9:00:00 AM,11:59:00 AM,45,47
COM411LecT1,Digital Filter Design,3,"Sulaiman, Amr",MGT-106,W,Weekly,12:00:00 PM,2:59:00 PM,32,22
CYS311Lec1,Security Threats And Risk Analysis,3,"Satrya, Gandeva",MGT-207,R,Weekly,3:00:00 PM,5:59:00 PM,35,30
CYS312Lec1,Cryptographic Algorithms And Protocols,3,"Satrya, Gandeva",MGT-204,M,Weekly,1:00:00 PM,3:59:00 PM,46,31
CYS412Lec1,Mobile And Wireless Security,4,"Satrya, Gandeva",MGT-106,T,Weekly,6:00:00 PM,8:59:00 PM,24,14
CYS412Lec1,Mobile And Wireless Security,4,"Seyam, Ahmed",HUB-118 Robotic Lab,R,Weekly,7:00:00 PM,8:59:00 PM,24,14
CYS414Lec1,Penetration Testing And Ethical Hacking,3,"Faheem, Yasir",HUB-116 Electronic Lab,R,Weekly,9:00:00 AM,11:59:00 AM,20,9
ELC323Lec1,Instrumentation & Measurements,3,"Majeed, Salih",HUB-114,M,Weekly,11:00:00 AM,12:59:00 PM,18,17
ELC323Lec1,Instrumentation & Measurements,3,"Majeed, Salih",HUB-116 Electronic Lab,M,Weekly,1:00:00 PM,2:59:00 PM,18,17
ELC323Lec2,Instrumentation & Measurements,3,"Majeed, Salih",HUB-114,M,Weekly,11:00:00 AM,12:59:00 PM,18,13
ELC323Lec2,Instrumentation & Measurements,3,"Sadek, Zeyad Remah",HUB-116 Electronic Lab,T,Weekly,4:00:00 PM,5:59:00 PM,18,13
ELC412Lec1,Digital System Design,3,"El Khatib, Ziad",HUB-118 Robotic Lab,M,Weekly,7:00:00 PM,8:59:00 PM,24,17
ELC412Lec1,Digital System Design,3,"El Khatib, Ziad",MGT-203,F,Weekly,10:00:00 AM,11:59:00 AM,24,17
ENG101LecEE1,Digital Logic,4,"Yousefi, Adel",HUB-116 Electronic Lab,M,Weekly,3:00:00 PM,4:59:00 PM,20,8
ENG101LecEE1,Digital Logic,4,"Moussa, Sherif",HUB-114,R,Weekly,6:00:00 PM,8:59:00 PM,20,8
ENG210Lec1,Computer Architecture,4,"Kaur, Kuljeet",MGT-208,M,Weekly,9:00:00 AM,11:59:00 AM,24,24
ENG210Lec1,Computer Architecture,4,"Sadek, Zeyad Remah",HUB-117 Software Lab,W,Weekly,5:00:00 PM,6:59:00 PM,24,24
ENG210Lec2,Computer Architecture,4,"Kaur, Kuljeet",MGT-208,M,Weekly,9:00:00 AM,11:59:00 AM,22,21
ENG210Lec2,Computer Architecture,4,"Sadek, Zeyad Remah",HUB-117 Software Lab,R,Weekly,10:00:00 AM,11:59:00 AM,22,21
ENG210Lec3,Computer Architecture,4,"Sadek, Zeyad Remah",HUB-117 Software Lab,T,Weekly,9:00:00 AM,10:59:00 AM,24,19
ENG210Lec3,Computer Architecture,4,"Kaur, Kuljeet",MGT-204,W,Weekly,6:00:00 PM,8:59:00 PM,24,19
ENG210Lec4,Computer Architecture,4,"Seyam, Ahmed",HUB-117 Software Lab,M,Weekly,1:00:00 PM,2:59:00 PM,24,25
ENG210Lec4,Computer Architecture,4,"Kaur, Kuljeet",MGT-204,W,Weekly,6:00:00 PM,8:59:00 PM,24,25
ENG210LecEE5,Computer Architecture,4,"Sadek, Zeyad Remah",HUB-117 Software Lab,M,Weekly,3:00:00 PM,4:59:00 PM,24,24
ENG210LecEE5,Computer Architecture,4,"Kaur, Kuljeet",MGT-106,R,Weekly,3:00:00 PM,5:59:00 PM,24,24
ENG222Lec1,Engineering Electromagnetics,3,"Hamza, Djilali",MGT-106,T,Weekly,12:00:00 PM,1:59:00 PM,20,20
ENG222Lec1,Engineering Electromagnetics,3,"Sadek, Zeyad Remah",HUB-116 Electronic Lab,W,Weekly,3:00:00 PM,4:59:00 PM,20,20
ENG222Lec2,Engineering Electromagnetics,3,"Sadek, Zeyad Remah",HUB-116 Electronic Lab,M,Weekly,11:00:00 AM,12:59:00 PM,11,12
ENG222Lec2,Engineering Electromagnetics,3,"Hamza, Djilali",MGT-106,T,Weekly,12:00:00 PM,1:59:00 PM,11,12
ENG223Lec1,Electric Circuit 2,3,"Hamza, Djilali",MGT-107,T,Weekly,4:00:00 PM,5:59:00 PM,18,7
ENG223Lec1,Electric Circuit 2,3,"Hamza, Djilali",HUB-116 Electronic Lab,W,Weekly,11:00:00 AM,12:59:00 PM,18,7
